DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,,,,,,,,,,
101111639,2010-05-05T00:00:00,2010-05-02T00:00:00,1600,11,Northeast,1184,330,BURGLARY FROM VEHICLE,0344 1605,41,F,W,101,STREET,,,AA,Adult Arrest,330,,,,MORTON,PARK,"{'latitude': '34.0825', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.25'}",,,,,,,,,,
101121898,2010-10-26T00:00:00,2010-10-25T00:00:00,2100,11,Northeast,1169,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 54,,"{'latitude': '34.1059', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.1958'}",,,,,,,,,,
101209042,2010-03-07T00:00:00,2010-03-07T00:00:00,1530,12,77th Street,1258,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,MAIN,73RD,"{'latitude': '33.9738', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2739'}",,,,,,,,,,
101210685,2010-03-28T00:00:00,2010-03-27T00:00:00,2200,12,77th Street,1249,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FIGUEROA,GAGE,"{'latitude': '33.9824', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2827'}",,,,,,,,,,
101210061,2010-03-19T00:00:00,2010-03-19T00:00:00,2000,12,77th Street,1231,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,59TH,RIMPAU,"{'latitude': '33.9872', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3399'}",,,,,,,,,,
101215312,2010-05-26T00:00:00,2010-05-25T00:00:00,2230,12,77th Street,1258,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,75TH,SAN PEDRO,"{'latitude': '33.9722', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2695'}",,,,,,,,,,
101316939,2010-07-19T00:00:00,2010-07-19T00:00:00,2305,13,Newton,1383,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,59TH,MAIN,"{'latitude': '33.9869', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2739'}",,,,,,,,,,
101309254,2010-03-22T00:00:00,2010-03-22T00:00:00,1000,13,Newton,1321,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BROADWAY,WASHINGTON                   BL,"{'latitude': '34.0294', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2671'}",,,,,,,,,,
101300001,2010-11-29T00:00:00,2010-11-28T00:00:00,2230,13,Newton,1383,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  62ND                         ST,,"{'latitude': '33.9834', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2718'}",,,,,,,,,,
101304304,2010-01-06T00:00:00,2010-01-05T00:00:00,1700,13,Newton,1367,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 E  50TH                         PL,,"{'latitude': '33.9971', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2449'}",,,,,,,,,,
101306667,2010-02-10T00:00:00,2010-02-10T00:00:00,1300,13,Newton,1385,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,AVALON,61ST,"{'latitude': '33.9844', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2652'}",,,,,,,,,,
101306897,2010-02-13T00:00:00,2010-02-12T00:00:00,1530,13,Newton,1383,850,INDECENT EXPOSURE,529,10,F,H,102,SIDEWALK,,,AO,Adult Other,850,,,,6000 S  BROADWAY,,"{'latitude': '33.9851', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2783'}",,,,,,,,,,
101309654,2010-03-29T00:00:00,2010-03-29T00:00:00,1430,13,Newton,1347,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,ALAMEDA,VERNON,"{'latitude': '34.0039', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2392'}",,,,,,,,,,
101311457,2010-04-24T00:00:00,2010-04-23T00:00:00,2000,13,Newton,1351,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,42ND,BROADWAY,"{'latitude': '34.0073', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2784'}",,,,,,,,,,
101315071,2010-06-20T00:00:00,2010-06-19T00:00:00,2200,13,Newton,1346,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,43RD,ASCOT,"{'latitude': '34.0057', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2497'}",,,,,,,,,,
101315901,2010-07-03T00:00:00,2010-07-02T00:00:00,1200,13,Newton,1321,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,21ST,MAIN,"{'latitude': '34.0294', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2671'}",,,,,,,,,,
101318388,2010-08-08T00:00:00,2010-08-08T00:00:00,1615,13,Newton,1321,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 W  23RD                         ST,,"{'latitude': '34.0285', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2691'}",,,,,,,,,,
101319650,2010-08-27T00:00:00,2010-08-27T00:00:00,1150,13,Newton,1383,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,62ND,SAN PEDRO,"{'latitude': '33.9834', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2695'}",,,,,,,,,,
101321103,2010-09-16T00:00:00,2010-09-15T00:00:00,2200,13,Newton,1321,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2400 S  GRAND                        AV,,"{'latitude': '34.0283', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2711'}",,,,,,,,,,
101321918,2010-09-28T00:00:00,2010-09-23T00:00:00,2000,13,Newton,1322,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ADAMS,MAPLE,"{'latitude': '34.0225', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2633'}",,,,,,,,,,
101327749,2010-12-25T00:00:00,2010-12-24T00:00:00,1200,13,Newton,1313,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900    GRIFFITH                     AV,,"{'latitude': '34.0259', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2535'}",,,,,,,,,,
101405545,2010-01-25T00:00:00,2010-01-25T00:00:00,1220,14,Pacific,1496,625,OTHER ASSAULT,416,43,M,H,101,STREET,,,IC,Invest Cont,625,,,,VICKSBURG,96TH,"{'latitude': '33.9489', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3939'}",,,,,,,,,,
101414218,2010-06-07T00:00:00,2010-06-07T00:00:00,1200,14,Pacific,1464,510,VEHICLE - STOLEN,,0,,,107,VACANT LOT,,,IC,Invest Cont,510,,,,7200    CRESCENT PARK W,,"{'latitude': '33.9759', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4156'}",,,,,,,,,,
101417043,2010-07-20T00:00:00,2010-07-19T00:00:00,1730,14,Pacific,1466,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6300 W  80TH                         ST,,"{'latitude': '33.967', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.396'}",,,,,,,,,,
101420432,2010-09-08T00:00:00,2010-09-03T00:00:00,1030,14,Pacific,1431,330,BURGLARY FROM VEHICLE,0344 1300,22,F,W,101,STREET,,,IC,Invest Cont,330,,,,HORIZON,PACIFIC,"{'latitude': '33.9886', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.473'}",,,,,,,,,,
101422582,2010-10-07T00:00:00,2010-10-05T00:00:00,2240,14,Pacific,1458,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,CULVER,PURDUE                       ST,"{'latitude': '34.001', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4129'}",,,,,,,,,,
101500638,2010-02-13T00:00:00,2010-02-12T00:00:00,2300,15,N Hollywood,1509,330,BURGLARY FROM VEHICLE,1307 1609,19,M,H,101,STREET,,,IC,Invest Cont,330,,,,VALERIO,DENNY,"{'latitude': '34.2048', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3649'}",,,,,,,,,,
101508450,2010-03-15T00:00:00,2010-03-15T00:00:00,2210,15,N Hollywood,1547,946,OTHER MISCELLANEOUS CRIME,1402,0,M,X,101,STREET,,,IC,Invest Cont,946,,,,MAGNOLIA,BAKMAN,"{'latitude': '34.1649', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3774'}",,,,,,,,,,
101516909,2010-07-30T00:00:00,2010-07-29T00:00:00,1930,15,N Hollywood,1511,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VARNA,SHERMAN,"{'latitude': '34.2012', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4247'}",,,,,,,,,,
101620790,2010-11-28T00:00:00,2010-11-27T00:00:00,1930,16,Foothill,1612,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,DE FOE,FILMORE,"{'latitude': '34.2754', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4181'}",,,,,,,,,,
101606382,2010-02-21T00:00:00,2010-02-20T00:00:00,1830,16,Foothill,1643,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,SAN FERNANDO,VAN NUYS,"{'latitude': '34.2661', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4221'}",,,,,,,,,,
101608142,2010-03-26T00:00:00,2010-03-26T00:00:00,1615,16,Foothill,1641,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,REMICK,GAIN,"{'latitude': '34.2531', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.429'}",,,,,,,,,,
101609310,2010-04-20T00:00:00,2010-04-20T00:00:00,1030,16,Foothill,1661,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,LAUREL CANYON,BRANFORD,"{'latitude': '34.2409', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4132'}",,,,,,,,,,
101215679,2010-05-31T00:00:00,2010-05-30T00:00:00,1700,12,77th Street,1251,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BRYNHURST,71ST,"{'latitude': '33.9757', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.3338'}",,,,,,,,,,
101115324,2010-07-04T00:00:00,2010-07-03T00:00:00,2340,11,Northeast,1135,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,MOSS,BUSHWICK,"{'latitude': '34.1146', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2408'}",,,,,,,,,,
101326938,2010-12-12T00:00:00,2010-12-12T00:00:00,2045,13,Newton,1307,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,OLYMPIC,ALAMEDA,"{'latitude': '34.0285', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2391'}",,,,,,,,,,
102122255,2010-12-21T00:00:00,2010-12-21T00:00:00,1415,21,Topanga,2143,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VICTORY,ROYER,"{'latitude': '34.1865', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.6277'}",,,,,,,,,,
101708201,2010-03-17T00:00:00,2010-03-16T00:00:00,1830,17,Devonshire,1701,330,BURGLARY FROM VEHICLE,0344 1307,22,F,H,101,STREET,,,IC,Invest Cont,330,,,,RINALDI,TAMPA,"{'latitude': '34.2746', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.5586'}",,,,,,,,,,
101717325,2010-09-03T00:00:00,2010-09-03T00:00:00,1700,17,Devonshire,1799,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,HASKELL,ROSCOE,"{'latitude': '34.2214', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4756'}",,,,,,,,,,
101719690,2010-10-18T00:00:00,2010-10-17T00:00:00,1800,17,Devonshire,1767,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,LASSEN,LINDLEY,"{'latitude': '34.25', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.5273'}",,,,,,,,,,
101809159,2010-03-30T00:00:00,2010-03-30T00:00:00,1100,18,Southeast,1836,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,108TH,CENTRAL,"{'latitude': '33.9378', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2542'}",,,,,,,,,,
101910774,2010-04-12T00:00:00,2010-04-03T00:00:00,2200,19,Mission,1924,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,EL DORADO,HUBBARD,"{'latitude': '34.2902', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4508'}",,,,,,,,,,
101905041,2010-01-18T00:00:00,2010-01-17T00:00:00,1800,19,Mission,1982,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,GRESHAM,MEMORY PARK,"{'latitude': '34.2309', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.4644'}",,,,,,,,,,
101806529,2010-02-15T00:00:00,2010-02-15T00:00:00,1100,18,Southeast,1803,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,87TH,WALL,"{'latitude': '33.9591', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2717'}",,,,,,,,,,
101807201,2010-02-28T00:00:00,2010-02-27T00:00:00,1200,18,Southeast,1862,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,116TH,FIGUEROA,"{'latitude': '33.9271', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.276'}",,,,,,,,,,
101809549,2010-04-05T00:00:00,2010-04-05T00:00:00,2000,18,Southeast,1826,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,102ND,COMPTON,"{'latitude': '33.9443', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2462'}",,,,,,,,,,
101813252,2010-06-07T00:00:00,2010-06-05T00:00:00,2000,18,Southeast,1842,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,109TH,SAN PEDRO,"{'latitude': '33.9374', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.2695'}",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1
1,2,2,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Length ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19,19,4,2,11,4,3,25,9,2,1,1,3,11,0,0,2,12,3,0,0,0,39,31,139,,,,,,,,,,
9,19,19,4,2,11,4,3,16,0,1,0,0,3,6,0,0,2,11,3,0,0,0,4,4,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
